movement_id,startX,startY,endX,endY,deltaX,deltaY,distance,duration,velocity
37,767,419,768,420,1,1,1.414,0.0,0
38,768,420,769,421,1,1,1.414,0.0,0
39,769,421,770,422,1,1,1.414,0.0,0
40,770,422,770,423,0,1,1.0,0.0,0
41,770,423,770,424,0,1,1.0,0.0,0
42,770,424,770,426,0,2,2.0,0.0,0
43,770,426,770,427,0,1,1.0,0.0,0
44,770,427,770,428,0,1,1.0,0.0,0
45,770,428,770,428,0,0,0.0,0.0,0
46,770,428,770,430,0,2,2.0,0.0,0
47,770,430,771,437,1,7,7.071,0.0,0
48,771,437,779,449,8,12,14.422,0.0,0
49,779,449,783,455,4,6,7.211,0.0,0
50,783,455,786,460,3,5,5.831,0.0,0
51,786,460,786,461,0,1,1.0,0.0,0
52,786,461,787,467,1,6,6.083,0.0,0
53,787,467,789,473,2,6,6.325,0.0,0
54,789,473,791,476,2,3,3.606,0.0,0
55,791,476,792,477,1,1,1.414,0.0,0
1,179,17,179,17,0,0,0.0,0.0,0
2,179,17,457,169,278,152,316.841,0.0,0
3,457,169,501,194,44,25,50.606,0.0,0
4,501,194,537,216,36,22,42.19,0.0,0
5,537,216,584,243,47,27,54.203,0.0,0
6,584,243,606,256,22,13,25.554,0.0,0
7,606,256,619,264,13,8,15.264,0.0,0
8,619,264,626,269,7,5,8.602,0.0,0
9,626,269,632,275,6,6,8.485,0.0,0
10,632,275,639,284,7,9,11.402,0.0,0
11,639,284,649,293,10,9,13.454,0.0,0
12,649,293,658,303,9,10,13.454,0.0,0
13,658,303,666,312,8,9,12.042,0.0,0
14,666,312,671,317,5,5,7.071,0.0,0
15,671,317,677,325,6,8,10.0,0.0,0
16,677,325,685,332,8,7,10.63,0.0,0
17,685,332,691,336,6,4,7.211,0.0,0
18,691,336,692,336,1,0,1.0,0.0,0
19,692,336,696,336,4,0,4.0,0.0,0
20,696,336,701,339,5,3,5.831,0.0,0
21,701,339,710,341,9,2,9.22,0.0,0
22,710,341,720,347,10,6,11.662,0.0,0
23,720,347,730,351,10,4,10.77,0.0,0
24,730,351,743,356,13,5,13.928,0.0,0
25,743,356,753,359,10,3,10.44,0.0,0
26,753,359,754,360,1,1,1.414,0.0,0
27,754,360,754,360,0,0,0.0,0.0,0
28,754,360,754,360,0,0,0.0,0.0,0
29,754,360,754,360,0,0,0.0,0.0,0
30,754,360,755,361,1,1,1.414,0.0,0
31,755,361,755,362,0,1,1.0,0.0,0
32,755,362,755,364,0,2,2.0,0.0,0
33,755,364,755,376,0,12,12.0,0.0,0
34,755,376,755,390,0,14,14.0,0.0,0
35,755,390,760,404,5,14,14.866,0.0,0
36,760,404,762,411,2,7,7.28,0.0,0
37,762,411,762,412,0,1,1.0,0.0,0
38,762,412,762,413,0,1,1.0,0.0,0
39,762,413,763,415,1,2,2.236,0.0,0
40,763,415,764,418,1,3,3.162,0.0,0
41,764,418,765,420,1,2,2.236,0.0,0
42,765,420,767,423,2,3,3.606,0.0,0
43,767,423,768,428,1,5,5.099,0.0,0
44,768,428,768,428,0,0,0.0,0.0,0
45,768,428,767,428,-1,0,1.0,0.0,0
46,767,428,766,429,-1,1,1.414,0.0,0
47,766,429,766,431,0,2,2.0,0.0,0
48,766,431,764,439,-2,8,8.246,0.0,0
49,764,439,763,445,-1,6,6.083,0.0,0
50,763,445,763,448,0,3,3.0,0.0,0
51,763,448,763,451,0,3,3.0,0.0,0
52,763,451,763,452,0,1,1.0,0.0,0
53,763,452,763,455,0,3,3.0,0.0,0
54,763,455,763,458,0,3,3.0,0.0,0
55,763,458,763,459,0,1,1.0,0.0,0
56,763,459,763,460,0,1,1.0,0.0,0
57,763,460,763,463,0,3,3.0,0.0,0
58,763,463,764,466,1,3,3.162,0.0,0
1,138,4,202,52,64,48,80.0,0.0,0
2,202,52,241,81,39,29,48.6,0.0,0
3,241,81,287,116,46,35,57.801,0.0,0
4,287,116,372,180,85,64,106.4,0.0,0
5,372,180,527,292,155,112,191.23,0.0,0
6,527,292,587,323,60,31,67.535,0.0,0
7,587,323,612,333,25,10,26.926,0.0,0
8,612,333,621,337,9,4,9.849,0.0,0
9,621,337,637,342,16,5,16.763,0.0,0
10,637,342,643,344,6,2,6.325,0.0,0
11,643,344,650,346,7,2,7.28,0.0,0
12,650,346,659,349,9,3,9.487,0.0,0
13,659,349,673,356,14,7,15.652,0.0,0
14,673,356,690,363,17,7,18.385,0.0,0
15,690,363,708,366,18,3,18.248,0.0,0
16,708,366,720,366,12,0,12.0,0.0,0
17,720,366,730,366,10,0,10.0,0.0,0
18,730,366,737,364,7,-2,7.28,0.0,0
19,737,364,746,364,9,0,9.0,0.0,0
20,746,364,754,364,8,0,8.0,0.0,0
21,754,364,759,364,5,0,5.0,0.0,0
